Title,Company,Job Type,Location,Link
SEO Specialist And Web Developer,Marketing Pulse -,Freelance / ProjectRemote,"Dubai, United Arab Emirates",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Marketing Pulse-United Arab Emirates-125759
Process Quality Internship - Alexandria,Prometeon tyres group – Egypt -,InternshipOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786
Security Guard,MCC -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MCC-Egypt-94640
Project Technical Support Engineer,Dr.Greiche  -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dr-Greiche-Egypt-41590
Account Manager (Booths & Exhibitions),WideVision -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/WideVision-Egypt-125454
Media Buyer,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/x3IONySQuWWi-Media-Buyer-Giza-Egypt
Call Center Agent,VOIS Egypt -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VOIS-Egypt-Egypt-967
Assistance Services Coordinator,Confidential -,Full TimeShift BasedOn-site,"Smart Village, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2bDv9Ebhp5V5-Assistance-Services-Coordinator-Giza-Egypt
"Admission , Marketing & Administration Paid Internship Programs",Smart Jobs -,InternshipOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Freelancer-Egypt-37290
Senior Steel Detailer Engineer,EAST  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EAST-Egypt-14673
Financial Planning Analyst - Supply Chain,Beyti - an Almarai Subsidiary  -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Beyti---A-Joint-Venture-of-Almarai---Pepsico-Egypt-28089
Senior Human Resources,Lemonspaces -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Lemonspaces-Egypt-68511
Billing Accountant (Assuit),Raya Distribution -,Full TimeOn-site,"Assuit, Assiut, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raya-Distribution-Egypt-1495
Sales Manager,Kahhal 1871 -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kahhal 1871-Egypt-125760
Nurse,Boutique Dental District -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Boutique Dental District-Egypt-125456
Business Development Specialist,IDH  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
VOIP & Linux Systems Engineer,SANA SOFT -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SANA-SOFT-Egypt-68875
IT Compliance Auditor,Pharma Overseas  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/pharma-Egypt-33706
Customer Care - Cochlear Implant,El Nahar for Medical Solutions -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Nahar-for-Medical-Solutions-Egypt-29738
Marketing Specialist (on ground & online),Confidential -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/tLEu7nLfHUFP-Marketing-Specialist-on-ground-online-Cairo-Egypt
Graphic Designer,Aman  -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Finance Analyst,Olam SVI -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Olam-SVI-Egypt-24893
Customer Service Representative - English Account,Confidential -,Full TimeRemote,"Smart Village, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/YBqQQb0OikhP-Customer-Service-Representative---English-Account-Giza-Egypt
Video Editor,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/s51qzKvtRMsh-Video-Editor-Giza-Egypt
Senior Project Control Engineer - Steel Structure,EAST  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EAST-Egypt-14673
Graphic Designer,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/NyQsISq52aYr-Graphic-Designer-Giza-Egypt
Supervisor ( Merchandising ),Aman  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Accounting Manager,Mobica -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mobica-Egypt-17185
Customer Service Agent,SMSA EXPRESS -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SMSA-Egypt-33832
Executive Secretary,Tiger Med For Medical Agencies -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tiger-Med-For-Medical-Agencies-Egypt-14885
Senior Executive Merchandising ( Visual Merchandising ),Aman  -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Pharmacist Assistant,Tanany Pharmacy -,Full TimeShift BasedOn-site,"Imbaba, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tanany Pharmacy-Egypt-125403
Accountant,PDC CRO -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/PDC-CRO-Egypt-88417
Junior App Monetization & Subscription Specialist - Sales / Growth,Madar Soft -,Full TimeRemote,"Fleming, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Madar-Soft-Egypt-14834
Software Engineer,Tafeel -,Full TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tafeel-Egypt-29001
Senior Architectural Engineer | Saudi Arabia,Confidential -,Full TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/agAAqRgdg362-Senior-Architectural-Engineer-Saudi-Arabia-Riyadh-Saudi-Arabia
Logistics operation specialist (Export),Target for Chemicals industry and trade -,Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Target-for-Chemicals-industry-and-trade-Egypt-67372
Value Engineer,Confidential -,Full TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/TNCISPK5aj03-Value-Engineer-Riyadh-Saudi-Arabia
Planning Engineer,Confidential -,Full TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zs9lecA86vLE-Planning-Engineer-Riyadh-Saudi-Arabia
Receptionist,SAK Developments -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sak-Developments-Egypt-37596
Projects Architect Manager,Confidential -,Full TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/q2A9IhudaUbb-Projects-Architect-Manager-Riyadh-Saudi-Arabia
Accountant,SMSA EXPRESS -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SMSA-Egypt-33832
Biomedical Maintenance Engineer,El-Ahlyia health care for medical supplies -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elahliya-Egypt-115133
Senior Executive HRIS,Aman  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Sales Account Executive,OKRA Furniture -,Full TimeOn-site,"Zamalek, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/OKRA Furniture-Egypt-125657
Customer Service Supervisor,Confidential -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/1VLJUAX8wOIO-Customer-Service-Supervisor-Giza-Egypt
Personnel Specialist,Pharma Overseas  -,Full TimeOn-site,"Zagazig, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/pharma-Egypt-33706
Branch supervisors - SVC supervisor,Vivo Egypt   -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Vivo-Egypt-Egypt-59596
Arabic Translator,Marketing Pulse -,Freelance / ProjectRemote,"Dubai, United Arab Emirates",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Marketing Pulse-United Arab Emirates-125759
Technical Support Engineer,Advanced Solutions -,Full TimeHybrid,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Advanced-Solutions-Philippines-70579
Senior Accountant,LAZARO SCENT  -,Full TimeOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/OurShock-Egypt-46681
Tendering Engineer,DME Holding -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520
Administrative Assistant,Leverage -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Leverage-Egypt-87959
Automation Execution Lead,Elsewedy industries -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892
GL Accountant,Aswaq -,Full TimeOn-site,"Shorouk City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
Fashion Designer,Tree -,Full TimeOn-site,"Glim, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tree-Egypt-99684
IT Specialist,Aswaq -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
Sales Executive,aladawy advanced system -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/aladawy advanced system-Egypt-125564
SVC Mobile Maintenance technicians,Vivo Egypt   -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Vivo-Egypt-Egypt-59596
Technical office engineer,Rubex Egypt -,Full TimeRemote,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Rubex-Egypt-Egypt-8617
Fabric Planning - Alexandria,Rubyred Garment -,Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Rubyred-Garment-Egypt-16370
Oracle EBS Supply Chain Specialist / Sr. Specialist - Techno Functional,Minapharm Pharmaceuticals -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Minapharm-Pharmaceuticals-Egypt-20620
Quality Engineer,Square Office Systems  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Square Office Systems-Egypt-95606
Sales Engineer,UNI Power -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/UNI-Power-Egypt-27137
Warehouse Manager,Great Foods -,Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Great-Foods-Egypt-37766
MRP Section Head,Great Foods -,Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Great-Foods-Egypt-37766
Technical Office Engineer - Ain Sokhna site,Roya Developments -,Full TimeOn-site,"Ain Sokhna, Suez, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Roya-Developments-Egypt-72895
Finance Director,Go Bus -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-32553
Production Controller,GPS -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/elmoasserbooks-Egypt-37460
Marketing Specialist,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FDOfwzH6YiIU-Marketing-Specialist-Cairo-Egypt
Senior business developer,Virtual Worker Now -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MISFTS-Egypt-41026
Senior Technical Office Engineer (Architecture),Core Construction and Finishing  Egypt -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Core-Construction-Egypt-Egypt-47561
Real Estate Analyst,Finvision Consulting -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Finvision Consulting-Egypt-125751
Administrative Assistant - Chinese Speaker,Confidential -,Full TimeOn-site,"Ain Sokhna, Suez, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/UbbbgCm9Ua9U-Administrative-Assistant---Chinese-Speaker-Suez-Egypt
Motion Graphic Designer,Selah ElTelmeez For Publishing & printing -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447
Office Manager,Kanza Group -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kanza-Group-Egypt-4642
Production Engineer,National Glass -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/National-Glass-Egypt-48561
Montessori & EYFS English Teachers,Kiddy Corner Nursery -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kiddy-Educational-Corner-Nursery-Egypt-16470
Foreign English & French Teachers,Kiddy Corner Nursery -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kiddy-Educational-Corner-Nursery-Egypt-16470
Operation Director,Confidential -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hreDXIfJAo6R-Operation-Director-Giza-Egypt
Biomedical Manager,Mersal  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mersal-Egypt-45113
Digital Marketing,Arma Non Food -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Arma-Food-Industries-Egypt-17402
Sales Manager position for Datacom networking,MATECH -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MATECH-Egypt-105278
Corporate Sales Executive,Shorouk Specialised Hospital  (Swiss Management) -,Full TimeOn-site,"Shorouk City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Shorouk Specialised Hospital (Swiss Management)-Egypt-82740
International Procurement Specialist / English Speakers,Teckman Heavy Equipment -,Full TimeShift BasedOn-site,"Shorouk City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Teckman-Heavy-Equipment-Egypt-68722
Junior Graphic Designer,PACHIN FOR PAINTS -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-47732
Lead Generation,Arma Non Food -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Arma-Food-Industries-Egypt-17402
Sales Specialist,My Cash Software -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/My Cash Software-Egypt-125754
Customer Success Account Manager,Paymint -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Paymint-Egypt-72741
Customer Succsess Key account Manager,Paymint -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Paymint-Egypt-72741
Sales Account Manager,Paymint -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Paymint-Egypt-72741
Automotive Workshop Engineer,ECRAL -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Fahd-Auto-Group-Egypt-27596
Personnel Officer,alfanar -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alfanar-Egypt-58564
Customer care Officer,IRON MOUNTAIN -,Full TimeHybrid,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Infofort-Egypt-10707
Senior General Accountant,VFS Global Egypt -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-7863
Learning & Development Coordinator,AB & Associates -,InternshipOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/test-Egypt-78016
Operation Manager,"international Trade Office Group "" ITOG"" -",Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/International-Trade-Office-Egypt-873
Senior Accountant - AR,VFS Global Egypt -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-7863
HSE Specialist (East Portsaid),Sky logistics -,Full TimeOn-site,"Port Said, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sky-logistics-Egypt-43527
Technical Account Manager,The Design Hub -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The-Design-Hub-Egypt-79698
driver,New Mena Plast -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/New-Mena-Plast-Egypt-31579
Senior Business Analyst,Multi-Level Group -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Multi-Level Group-Egypt-125753
Video Editor,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/IYDcNGdYi2P7-Video-Editor-Cairo-Egypt
IPC Specialist,Royal Herbs  -,Full TimeOn-site,"Haram, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Royal-Herbs--Egypt-14828
Senior Account Receivable,Memaar Alashraaf -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Memaar-Alashraaf-Egypt-44274
Facilities Manager,ENOVA Facilities Management -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ENOVA-Facilities-Management-Egypt-79582
Office Engineer,Dr.Greiche  -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dr-Greiche-Egypt-41590
3D Designer/Operator for 3D Printing,Gazelle 3D Tech -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Gazelle-3D-Tech-Egypt-62526
.Net Technical Lead,LINK Development -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/A15-Egypt-15576
Learning &Development Supervisor,Sky logistics -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sky-logistics-Egypt-43527
Chemist,KZ for Pesticides and Chemicals.  -,Full TimeOn-site,"Kafr Alzayat, Gharbia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KZ for Pesticides and Chemicals.-Egypt-79568
Production Engineer,Kandil Steel -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kandil-Steel-Egypt-10956
Mechanical Technical Office Engineer,Amer Vision Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Amer-vision-Egypt-64043
Teaching Assistant - September 2025,Egypt Education Platform -,Full TimeOn-site,"Rehab City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339
Technical Office FF&E,Amer Vision Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Amer-vision-Egypt-64043
Senior Product Designer,WUZZUF -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061
Production Engineer,KZ for Pesticides and Chemicals.  -,Full TimeOn-site,"Kafr Alzayat, Gharbia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KZ for Pesticides and Chemicals.-Egypt-79568
Mechanical Engineer,KZ for Pesticides and Chemicals.  -,Full TimeOn-site,"Kafr Alzayat, Gharbia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KZ for Pesticides and Chemicals.-Egypt-79568
HSE Engineer,Confidential -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vpakohdBBNqI-HSE-Engineer-Cairo-Egypt
Tender furniture Engineer,Mobica -,Full TimeOn-site,"Abu Rawash, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mobica-Egypt-17185
IT Help Desk,Aman  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Senior Design Architect,Elgabaly Architects -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elgabaly-Architects-Egypt-12060
Design Manager,Elgabaly Architects -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elgabaly-Architects-Egypt-12060
Quality Control Engineer,Lecico Egypt -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Lecico-Egypt-Egypt-14389
Receptionist,Winvestor Develpments -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Winvestor-Develpments-Egypt-119159
Licensed Dermatology & Aesthetic Specialist,Alkhaleej Medical Center -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alkhaleej Medical Center-Saudi Arabia-125740
Payroll Administrator,The Infinity Group   -,Full TimePart TimeRemote,"London, United Kingdom",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The Infinity Group-Egypt-125583
Architect,Constructive Lines -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MARWA SAEID-Egypt-125736
Junior Marketing Specialist,Future Experts -,Full TimeOn-site,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Senior Media Buyer / Google ads manager,Future Experts -,Full TimeHybrid,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Local Purchasing Specialist,GLC Paints -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GLC-Egypt-27597
Video Editor,Future Experts -,Full TimeOn-site,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Quality Assurance Specialist,Linrco Egypt -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Linrco Egypt-Egypt-102762
Senior 2D Graphic Designer,Future Experts -,Full TimeOn-site,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Purchasing Manager,Arma-HSA -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Arma-Egypt-73932
Electrical Engineer,Eshratex -,Full TimeOn-site,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Eshratex-Egypt-36633
Customer Support Advisor- English,Intouch CX  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363
Openings for Customer Support- English Account,Intouch CX  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363
Digital Marketing Manager,Future Experts -,Full TimeOn-site,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Senior Copywriter,Future Experts -,Full TimeOn-site,"Stanley, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/digitarianz-Egypt-27574
Senior Graphic Designer 2D,NewTech Company -,Full TimeOn-site,"Garden City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-86890
Printing and spraying Engineer,Kandil Glass  -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kandil-Industries-Egypt-109059
Receptionist,europa schule neu kairo -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/europa schule neu kairo-Egypt-124384
Business Developer,Route ِAcademy -,Part TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Route-Egypt-46946
Human Resources Recruiter,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/QJFP2dlZVidW-Human-Resources-Recruiter-Cairo-Egypt
"Etisalat UAE (b1+ English speakers)Customer service,Grads",Etisalat Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
Call Center Agent ( b1+ English speakers ) - Etisalat UAE,Etisalat Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
