Title,Company,Job Type,Location,Link
Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German Health -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Saudi-German-Group-Egypt-71088
IT Specialist,American Mattress -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-23938
Supply Chain Supervisor,UNI Power -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/UNI-Power-Egypt-27137
Assistant Manager ( Transportation Department ),Emeco Travel  -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Emeco Travel-Egypt-89012
Sales Account Manager- Beheira,Misr Elkheir Foundation -,Full TimeOn-site,"Beheira, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Misr-Elkheir-Foundation-Egypt-7932
Vehicle Fleet Supervisor,J&T Express Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/J-T-Express-Egypt-Egypt-64706
Product Manager,Confidential -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/CL0dbgHPRZB3-Product-Manager-Cairo-Egypt
Customer Service Representative.,Caldo e. Freddo -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Caldo-e--Freddo-Egypt-49047
Business Development Specialist ( New Product development ),Egyptian Company for Cosmetics -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-For-Cosmetics-Egypt-11636
German Teacher (new academic year September 2025/2026),Confidential -,Full TimeOn-site,"Madinaty, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/A7uSLf3YihkX-German-Teacher-new-academic-year-September-20252026-Cairo-Egypt
Sales Account Manager,Galera Plants  -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Galera Plants-Egypt-123365
Sales Specialist,Galera Plants  -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Galera Plants-Egypt-123365
